"","circuitId","circuitRef","name","location","country","lat","lng","alt","dist.km.","dist.mile.","Turns","Date.Range","Type","url","Lap_time","speedmph"
"1",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,"10",5.303,3.296,14,"1996- 2020","Race","http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit",82.41,143.982526392428
"2",3,"bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,"7",5.412,3.363,15,"2005-present","Race","http://en.wikipedia.org/wiki/Bahrain_International_Circuit",89.4,135.422818791946
"3",4,"catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain",41.57,2.26111,"109",4.655,2.892,16,"2007-present","Race","http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya",77.435,134.450829728159
"4",6,"monaco","Circuit de Monaco","Monte-Carlo","Monaco",43.7347,7.42056,"7",3.337,2.074,19,"2015-present","Street","http://en.wikipedia.org/wiki/Circuit_de_Monaco",71.65,104.206559665038
"5",7,"villeneuve","Circuit Gilles Villeneuve","Montreal","Canada",45.5,-73.5228,"13",4.361,2.71,14,"2002-present","Race","http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve",71.78,135.915296740039
"6",9,"silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,"153",5.891,3.661,18,"2011-present","Race","http://en.wikipedia.org/wiki/Silverstone_Circuit",86.27,152.771531239133
"7",10,"hockenheimring","Hockenheimring","Hockenheim","Germany",49.3278,8.56583,"103",4.574,2.842,17,"2002-present","Race","http://en.wikipedia.org/wiki/Hockenheimring",69.26,147.721628645683
"8",11,"hungaroring","Hungaroring","Budapest","Hungary",47.5789,19.2486,"264",4.381,2.722,14,"2003-present","Race","http://en.wikipedia.org/wiki/Hungaroring",76.17,128.649074438755
"9",13,"spa","Circuit de Spa-Francorchamps","Spa","Belgium",50.4372,5.97139,"401",7.004,4.352,20,"2007-present","Race","http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps",99.53,157.411835627449
"10",14,"monza","Autodromo Nazionale di Monza","Monza","Italy",45.6156,9.28111,"162",5.793,3.6,11,"2000-present","Race","http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza",76.38,169.67792615868
"11",15,"marina_bay","Marina Bay Street Circuit","Marina Bay","Singapore",1.2914,103.864,"18",5.063,3.146,23,"2008-present","Street","http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit",93.54,121.077613855035
"12",17,"shanghai","Shanghai International Circuit","Shanghai","China",31.3389,121.22,"5",5.451,3.388,16,"2004-present","Race","http://en.wikipedia.org/wiki/Shanghai_International_Circuit",93.1333333333333,130.96062992126
"13",18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,"785",4.309,2.677,15,"1999-present","Race","http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace",65.28,147.628676470588
"14",22,"suzuka","Suzuka Circuit","Suzuka","Japan",34.8431,136.541,"45",5.807,3.609,18,"2003-present","Race","http://en.wikipedia.org/wiki/Suzuka_Circuit",79.86,162.689706987228
"15",24,"yas_marina","Yas Marina Circuit","Abu Dhabi","UAE",24.4672,54.6031,"3",5.554,3.451,16,"2009-2021","Race","http://en.wikipedia.org/wiki/Yas_Marina_Circuit",96.755,128.402666528862
"16",32,"rodriguez","Autódromo Hermanos Rodríguez","Mexico City","Mexico",19.4042,-99.0907,"2227",4.304,2.674,NA,"2015-present","","http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez",76.76,125.409067222512
"17",34,"ricard","Circuit Paul Ricard","Le Castellet","France",43.2506,5.79167,"432",5.842,3.63,15,"2005-present","Race","http://en.wikipedia.org/wiki/Paul_Ricard_Circuit",90.425,144.517555985623
"18",69,"americas","Circuit of the Americas","Austin","USA",30.1328,-97.6411,"161",3.426,5.514,20,"2012-present","Race","http://en.wikipedia.org/wiki/Circuit_of_the_Americas",93.575,212.133582687684
"19",70,"red_bull_ring","Red Bull Ring","Spielberg","Austria",47.2197,14.7647,"678",4.318,2.683,10,"2016-present","Race","http://en.wikipedia.org/wiki/Red_Bull_Ring",64.36,150.074580484773
"20",71,"sochi","Sochi Autodrom","Sochi","Russia",43.4057,39.9578,"2",5.848,3.634,18,"2014-present","Race","http://en.wikipedia.org/wiki/Sochi_Autodrom",94.155,138.945356061813
"21",73,"BAK","Baku City Circuit","Baku","Azerbaijan",40.3725,49.8533,"-7",6.003,3.73,20,"2017-present","Street","http://en.wikipedia.org/wiki/Baku_City_Circuit",92.035,145.901015917857
